"p_cit","p_TL","p_TG","p_GL","p_Lind","p_res"
0.266485327274196,0.061160875044694,0.266485327274196,0.0667828815126969,0.168522859743583," "
0.384244862218895,0.104969777899146,0.384244862218895,0.0628991607347997,0.195567912352143," "
0.375068624342362,0.0988770904062881,0.375068624342362,0.0231709394017163,0.17380343183023," "
0.408660794109802,0.123746970341111,0.408660794109802,0.00872687407740215,0.244765557722729," "
0.590249717755916,0.15376824100311,0.590249717755916,0.00523178017259917,0.224028218220144," "
0.683079664556696,0.304612965417202,0.683079664556696,0.223751597147892,0.417067105706847," "
0.88737588220953,0.349745949945931,0.88737588220953,0.213761951347711,0.467926431411925," "
0.687543258280438,0.483200953180883,0.638429102293405,0.116730559214988,0.687543258280438," "
0.6497279897361,0.449271961843198,0.616634534626615,0.071838175818623,0.6497279897361," "
0.639618217417652,0.42211346349993,0.631107891048411,0.0717264565801597,0.639618217417652," "
0.703639536543692,0.432217039846962,0.703639536543692,0.173735147071559,0.275745709610733," "
0.417768957329382,0.417768957329382,0.363956801161868,0.175552930457681,0.245747264145711," "
0.454438416619933,0.454438416619933,0.142241132229401,0.19492107998496,0.132513263396876," "
0.23306812988681,0.23306812988681,0.0272760978510497,0.0838721226348062,0.0578220395131982," "
0.323966963137704,0.323966963137704,0.00330658604185944,0.0827792564997083,0.00390350595244698," "
0.966181558208377,0.966181558208377,0.0592455428792532,0.0052049567310099,0.864255169121617," "
0.40089885284491,0.40089885284491,3.69565593027185e-05,0.00299407884701054,4.59799763340669e-06," "
0.305557230303197,0.305557230303197,3.89134414612769e-08,0.00381404761133336,1.48523056560131e-12," "
0.287870312497949,0.287870312497949,9.96916275589237e-11,0.00427378233965703,3.20418585001166e-23," "
0.23891548008075,0.23891548008075,2.16541923465283e-12,0.00414993104656925,2.25681410005974e-27," "
0.635700871156761,0.497034445221896,0.583747793440944,0.0264617309884336,0.635700871156761," "
0.0754732928055186,0.0754732928055186,0.0505551390220676,0.0151861839086695,0.0666199956105804," "
0.0752750289323564,0.0752750289323564,0.00117476999552163,0.0156884295570298,0.000193197527983394," "
0.0412208801215432,0.0412208801215432,1.62549373635745e-06,0.0138089957951934,4.42111658749949e-06,"causal"
0.0543134019620706,0.0543134019620706,1.99371304605602e-09,0.0150611834558357,3.06775709786016e-06," "
0.828209488280026,0.457582115448533,0.828209488280026,9.79606181983972e-09,0.450762843037341," "
0.746643303891707,0.395255539035413,0.746643303891707,2.83619285204403e-10,0.280639395898041," "
0.970577580609653,0.591893730690171,0.970577580609653,3.34324063168575e-12,0.553207472308628," "
0.956085900452329,0.411503260593968,0.956085900452329,2.18031150352512e-14,0.539633334372779," "
0.992075768880348,0.453079442470004,0.992075768880348,7.92328971416586e-18,0.552602414940842," "
